Designator,Qty,Manufacturer,Mfg Part #,Description,Package/Footprint,Type
"C1,C11",2,Kemet,C0402C103K4RACTU,CAP CER 10n 16V X7R,0402 in,SMD
"C2,C7,C8,C9,C10,C14,C17,C19,C20",9,Kemet,C0402C104M4RAC7411,CAP CER 100n 16V X7R,0402 in,SMD
C3,1,Kemet,T491A475M016AT,CAP TANT 4u7 16V,3216-18 mm,SMD
"C4,C5",2,Samsung,CL10A226MP8NUNE,CAP CER 22u 10V X5R,0603 in,SMD
C6,1,Samsung,CL10A106MP8NNND,CAP CER 10u 10V X5R,0603 in,SMD
"C12,C13",2,Kemet,C0603C105K4PAC7867,CAP CER 1u 16V X5R,0603 in,SMD
C18,1,Kemet,T491A105M016AT,CAP TANT 1u 16V,3216-18 mm,SMD
"C15,C16",2,Murata,GJM1555C1H140GB01D,CAP CER 14p 50V C0G,0402 in,SMD
D1,1,Wurth Elektronik,150060RS75000,LED RED 0603,0603 in,SMD
D2,1,Wurth Elektronik,150060VS75000,LED GREEN 0603,0603 in,SMD
"D3,D4,D5,D6,D7,D8,D9,D10",8,Cree LED,C4SMA-RGY-CS4V1BB1,LED RED Through Hole 4mm Oval,2POS,Thru-hole (solder at square leg)
FB1,1,Murata,BLM18PG221SN1D,Ferrite Bead 220R @ 100MHz 0603,0603 in,SMD
FB2,1,Murata,BLM18KG121TN1D,Ferrite Bead 120R @ 100MHz 0603,0603 in,SMD
J1,1,Wurth Elektronik,614105150721,USB B Micro Vertical,7POS,Thru-hole
"J3,J4",2,Samtec,TSW-106-07-G-S,Conn_01x06_Pin 2.54mm,6POS,DNS
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",8,Onsemi,2N7002 ,MOSFET N-Channel 60V 115mA,SOT-23-3,SMD
"R1,R3,R4,R7,R8",5,Vishay,CRCW06031K50FKEC,RES 1k5 1% 1/10W,0603 in,SMD
"R2,R9,R26,R27,R28,R29,R30,R31,R32,R33",10,Yageo,RT0603FRE0710KL,RES 10k 1% 1/10W,0603 in,SMD
"R5,R6",2,Yageo,RT0603FRE074K7L,RES 4k7 1% 1/10W,0603 in,SMD
"R10,R11,R12,R13,R14,R15,R16,R17",8,Panasonic,ERJ-3EKF68R0V,RES 68R 1% 1/10W,0603 in,SMD
"R18,R19,R20,R21,R22,R23,R24,R25",8,Yageo,RC0603FR-070RL,RES 0R 1% 1/10W,0603 in,SMD
U1,1,Onsemi,LM1117MPX-33NOPB,LDO 3V3 800mA,SOT-223-3,SMD
U2,1,STMicroelectronics,USBLC6-2P6,ESD Suppressor,SOT-666-6,SMD
U3,1,STMicroelectronics,STM32F103C8T6,MCU 32BIT Cortex,LQFP-48,SMD
U4,1,NXP Semiconductors,"LM75BD,118",I2C Temp Sensor,SOIC-8,SMD
U5,1,Analog Devices,ADXL343BCCZ-RL7,I2C Accelerometer,LGA-14,SMD
U6,1,Onsemi,CAV25M01VE-GT3,SPI EEPROM 1Mb,SOIC-8,SMD
Y1,1,YXC,X322516MMB4SI,16MHz Crystal 10pF,SMD3225-4P,SMD
SW1,1,C&K,AYZ0102AURLC,Slide switch SPDT,SMD,SMD
SW2,1,Wurth Elektronik,434133025816,Push button SPST,SMD,SMD
